Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C7","1uF","C_0603_1608Metric",147.320000,-105.156000,180.000000,top
"C12","1uF","C_0603_1608Metric",147.320000,-112.014000,0.000000,top
"C15","100nF","C_0402_1005Metric",141.732000,-97.028000,0.000000,top
"C16","1uF","C_0603_1608Metric",133.096000,-101.854000,180.000000,top
"C17","100nF","C_0402_1005Metric",142.290800,-111.950500,90.000000,top
"C18","100nF","C_0402_1005Metric",139.192000,-112.522000,180.000000,top
"C19","100nF","C_0402_1005Metric",131.572000,-110.744000,0.000000,top
"C20","100nF","C_0402_1005Metric",133.858000,-103.632000,270.000000,top
"C21","100nF","C_0402_1005Metric",132.588000,-103.632000,270.000000,top
"C22","100nF","C_0402_1005Metric",131.572000,-111.836200,0.000000,top
"C23","100nF","C_0402_1005Metric",133.096000,-111.912400,90.000000,top
"C24","100nF","C_0402_1005Metric",144.627600,-105.397300,90.000000,top
"C25","100nF","C_0402_1005Metric",136.144000,-101.676200,0.000000,top
"C26","100nF","C_0402_1005Metric",142.214600,-102.260400,270.000000,top
"C27","100nF","C_0402_1005Metric",145.008600,-111.950500,270.000000,top
"C28","1uF","C_0603_1608Metric",143.510000,-110.998000,270.000000,top
"C29","1uF","C_0603_1608Metric",143.471900,-108.102400,90.000000,top
"C30","33pF","C_0402_1005Metric",131.318000,-103.632000,270.000000,top
"C31","33pF","C_0402_1005Metric",131.572000,-109.474000,180.000000,top
"D1","ESD5Z3V3","D_SOD-523",147.701000,-114.046000,0.000000,top
"D2","ESD5Z3V3","D_SOD-523",137.287000,-114.173000,0.000000,top
"D3","1N5819WS","D_SOD-323",136.906000,-92.202000,90.000000,top
"D12","LED_GRN","D_0603_1608Metric",150.622000,-101.092000,270.000000,top
"D13","LED_RED","D_0603_1608Metric",128.778000,-101.092000,270.000000,top
"J1","GDCTRL","PinSocket_1x07_P2.54mm_Vertical",128.778000,-109.982000,0.000000,top
"J7","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",130.810000,-88.900000,270.000000,top
"J8","IO","PinSocket_1x07_P2.54mm_Vertical",150.622000,-109.982000,0.000000,top
"J10","Conn_01x01_Male","SOLDERPAD_100x200",148.336000,-88.392000,270.000000,top
"J11","Conn_01x01_Male","SOLDERPAD_100x200",142.113000,-88.392000,90.000000,top
"J12","MOTOR_ENC","JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal",139.573000,-122.047000,0.000000,top
"R1","22","R_0402_1005Metric",132.969000,-114.300000,180.000000,top
"R2","4.7k","R_0402_1005Metric",135.001000,-114.173000,0.000000,top
"R3","4.7k","R_0402_1005Metric",138.811000,-115.951000,270.000000,top
"R4","4.7k","R_0402_1005Metric",140.589000,-115.951000,270.000000,top
"R13","22","R_0402_1005Metric",145.161000,-114.173000,0.000000,top
"R16","22","R_0402_1005Metric",135.128000,-112.522000,0.000000,top
"R17","22","R_0402_1005Metric",137.160000,-112.522000,0.000000,top
"R19","22","R_0402_1005Metric",137.160000,-87.630000,180.000000,top
"R20","4.7k","R_0402_1005Metric",137.160000,-86.360000,0.000000,top
"R21","4.7k","R_0402_1005Metric",137.414000,-90.170000,0.000000,top
"R22","22","R_0402_1005Metric",137.160000,-88.900000,180.000000,top
"R24","22","R_0402_1005Metric",136.906000,-85.090000,180.000000,top
"R25","22k","R_0402_1005Metric",141.782800,-98.501200,90.000000,top
"R26","2.2k","R_0402_1005Metric",150.622000,-103.632000,270.000000,top
"R27","2.2k","R_0402_1005Metric",128.778000,-104.013000,270.000000,top
"R29","22k","R_0402_1005Metric",133.096000,-109.982000,270.000000,top
"R30","22k","R_0402_1005Metric",150.622000,-95.758000,180.000000,top
"R31","2.2k","R_0402_1005Metric",150.622000,-94.488000,0.000000,top
"U1","LR7133","SOT-89-3",146.431000,-108.458000,90.000000,top
"U5","MAX3051","SOT-23-8",141.224000,-94.767400,0.000000,top
"U7","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",146.050000,-98.806000,270.000000,top
"U8","MCP2515-xST","TSSOP-20_4.4x6.5mm_P0.65mm",134.874000,-97.536000,0.000000,top
"U9","RP2040","RP2040-QFN-56",138.684000,-107.188000,270.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",132.246000,-106.850000,270.000000,top
